Agent_Age,Agent_Rating,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Premium_Delivery,Distance
35,5.0,Sunny,Low ,scooter ,Urban ,55,Clothing,1,3.0734537599377685
26,4.9,Stormy,Low ,scooter ,Metropolitian ,55,Kitchen,1,3.1051314775458967
22,4.8,Fog,Low ,motorcycle ,Metropolitian ,140,Books,0,10.86742683448048
35,4.3,Cloudy,Medium ,motorcycle ,Metropolitian ,33,Grocery,1,10.865464603780389
37,4.7,Sandstorms,Jam ,motorcycle ,Metropolitian ,260,Clothing,0,13.682516298592299
28,4.6,Stormy,Jam ,scooter ,Metropolitian ,110,Cosmetics,1,16.826241648658115
37,4.9,Fog,Low ,scooter ,Urban ,16,Grocery,1,3.0272369309754272
23,4.9,Sunny,Jam ,van,Metropolitian ,55,Apparel,1,9.175193844437826
27,4.9,Windy,Medium ,scooter ,Metropolitian ,125,Snacks,0,9.315069177421892
37,4.8,Cloudy,Medium ,motorcycle ,Urban ,130,Jewelry,0,6.209021101535612
33,5.0,Sunny,High ,scooter ,Metropolitian ,90,Shoes,1,1.5203447277401048
31,4.9,Fog,Medium ,motorcycle ,Metropolitian ,80,Books,1,6.037225392443855
31,4.8,Stormy,Low ,scooter ,Metropolitian ,115,Cosmetics,1,17.078665498349437
25,5.0,Cloudy,Low ,motorcycle ,Metropolitian ,75,Home,1,4.717601092054723
28,4.8,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Kitchen,0,12.464329297636581
31,4.7,Cloudy,Low ,motorcycle ,Metropolitian ,80,Clothing,1,9.121425981981247
24,4.7,Sunny,Medium ,motorcycle ,Urban ,95,Snacks,1,14.02323208308448
39,4.6,Sunny,Low ,motorcycle ,Metropolitian ,135,Jewelry,0,13.392612276663236
39,4.2,Fog,Jam ,scooter ,Semi-Urban ,245,Apparel,0,12.580267822400963
32,4.5,Windy,Low ,scooter ,Other,100,Shoes,1,1.4899271643865588
36,4.7,Cloudy,Jam ,motorcycle ,Metropolitian ,150,Sports,0,9.435201537430714
25,4.8,Sandstorms,Low ,scooter ,Urban ,90,Cosmetics,1,11.916582838288104
33,4.9,Sunny,Jam ,scooter ,Metropolitian ,110,Books,1,4.663566689152146
30,4.4,Cloudy,Low ,scooter ,Metropolitian ,170,Shoes,0,10.641157729337541
33,5.0,Sandstorms,Low ,motorcycle ,Urban ,120,Jewelry,1,16.818368923732613
36,4.9,Fog,Medium ,scooter ,Metropolitian ,85,Pet Supplies,1,6.128551257919138
21,4.8,Sandstorms,Low ,van,Metropolitian ,70,Shoes,1,2.996250036665907
39,4.9,Stormy,Jam ,motorcycle ,Metropolitian ,150,Skincare,0,7.342175722857793
23,4.8,Stormy,Low ,scooter ,Metropolitian ,15,Grocery,1,3.145067434621583
35,4.8,Fog,Medium ,scooter ,Urban ,80,Apparel,1,6.29013467763468
39,4.6,Cloudy,Jam ,scooter ,Metropolitian ,180,Home,0,13.972123977178622
22,4.7,Sunny,High ,scooter ,Urban ,90,Sports,1,6.081440797008078
32,4.6,Fog,Medium ,scooter ,Metropolitian ,85,Outdoors,1,6.080891507842322
24,4.8,Sandstorms,Low ,motorcycle ,Urban ,75,Apparel,1,12.580267822400963
29,4.7,Fog,Low ,motorcycle ,Metropolitian ,85,Books,1,3.145067434621583
26,4.7,Fog,Low ,motorcycle ,Metropolitian ,50,Shoes,1,9.220373067021216
20,4.5,Fog,Jam ,motorcycle ,Metropolitian ,135,Sports,0,7.8626681674103684
35,4.1,Sandstorms,Jam ,motorcycle ,Metropolitian ,185,Pet Supplies,0,13.96960642768458
39,4.6,Fog,Jam ,scooter ,Metropolitian ,220,Electronics,0,13.973206773137713
34,4.7,Windy,High ,van,Metropolitian ,140,Snacks,0,6.058853851669116
27,4.7,Cloudy,Jam ,scooter ,Metropolitian ,210,Apparel,0,17.07799287216204
30,4.8,Windy,Low ,motorcycle ,Metropolitian ,125,Sports,0,17.29786575291325
25,4.4,Cloudy,Medium ,scooter ,Metropolitian ,195,Jewelry,0,17.072871906399556
25,4.7,Stormy,Medium ,motorcycle ,Urban ,100,Electronics,1,16.818368923732613
30,5.0,Stormy,High ,motorcycle ,Metropolitian ,155,Kitchen,0,2.979502850576494
24,4.6,Stormy,Jam ,motorcycle ,Metropolitian ,65,Home,1,9.22086597503784
39,4.8,Stormy,Jam ,motorcycle ,Metropolitian ,140,Home,0,7.661331134220826
25,4.8,Windy,High ,scooter ,Urban ,95,Snacks,1,6.1755160934059985
37,4.6,Fog,Low ,motorcycle ,Urban ,210,Kitchen,0,12.209856560906529
24,5.0,Fog,Low ,motorcycle ,Metropolitian ,115,Electronics,1,1.5526813140972442
25,4.2,Stormy,Jam ,motorcycle ,Metropolitian ,195,Cosmetics,0,16.902806732498032
32,4.6,Stormy,Low ,motorcycle ,Metropolitian ,125,Outdoors,0,1.5093577696337532
34,4.7,Sandstorms,Low ,scooter ,Metropolitian ,75,Clothing,1,6048.631240095336
38,4.9,Cloudy,Low ,scooter ,Urban ,75,Books,1,3.0251186390184004
36,4.8,Sunny,Medium ,van,Metropolitian ,75,Home,1,13.407092693002484
25,5.0,Stormy,Jam ,motorcycle ,Metropolitian ,75,Electronics,1,16.721976048741215
29,5.0,Sunny,Low ,motorcycle ,Metropolitian ,90,Outdoors,1,7.772343594464245
36,4.7,Sandstorms,Low ,van,Metropolitian ,145,Clothing,0,13.773737657079298
33,4.7,Fog,Low ,motorcycle ,Metropolitian ,100,Snacks,1,7.790158927084966
36,4.4,Cloudy,High ,scooter ,Metropolitian ,195,Skincare,0,6.217834398578936
21,4.8,Windy,Low ,motorcycle ,Metropolitian ,95,Sports,1,16.852834881460105
25,4.8,Cloudy,Low ,scooter ,Urban ,19,Grocery,1,4.610035602260694
23,4.8,Windy,Low ,motorcycle ,Metropolitian ,85,Electronics,1,19.879870677373706
25,4.6,Stormy,Low ,motorcycle ,Urban ,75,Books,1,1.5580833985948437
24,4.3,Sandstorms,Low ,motorcycle ,Urban ,95,Apparel,1,3.025332706173566
27,4.6,Sandstorms,Jam ,motorcycle ,Metropolitian ,145,Apparel,0,13.97194896017493
23,4.8,Cloudy,Low ,scooter ,Urban ,110,Jewelry,1,16.830905551931956
21,4.3,Fog,Jam ,scooter ,Metropolitian ,210,Books,0,20.207797933358158
27,4.7,Sandstorms,Low ,scooter ,Urban ,60,Sports,1,3.040641621538495
32,4.2,Cloudy,Jam ,motorcycle ,Metropolitian ,190,Skincare,0,20.253785359470783
25,4.6,Sunny,Low ,motorcycle ,Metropolitian ,115,Outdoors,1,16.72129600980331
39,4.7,Cloudy,Low ,scooter ,Metropolitian ,75,Books,1,2.9845507897866907
27,4.6,Sunny,Low ,motorcycle ,Metropolitian ,120,Shoes,1,12.16145053143676
39,3.8,Windy,Jam ,motorcycle ,Metropolitian ,185,Books,0,16.822155609317257
31,4.8,Sandstorms,Low ,scooter ,Metropolitian ,120,Sports,1,7.762556904358444
31,4.8,Sunny,Low ,van,Metropolitian ,65,Kitchen,1,9.055855161965923
20,4.8,Cloudy,Low ,motorcycle ,Other,80,Sports,1,1.5545816630911855
36,4.9,Cloudy,Medium ,motorcycle ,Urban ,210,Cosmetics,0,12.074047498027575
20,4.9,Sandstorms,Low ,motorcycle ,Metropolitian ,85,Toys,1,13.580373876280879
24,4.6,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Jewelry,0,4.469620875558295
39,4.2,Fog,Medium ,scooter ,Metropolitian ,195,Clothing,0,16.634870118211836
37,4.8,Sunny,High ,scooter ,Metropolitian ,90,Shoes,1,6.232139486668102
32,4.9,Sandstorms,Medium ,motorcycle ,Metropolitian ,140,Books,0,6.209021101535612
22,4.5,Sandstorms,Low ,scooter ,Metropolitian ,90,Skincare,1,7.460830127736633
23,4.9,Windy,Low ,scooter ,Metropolitian ,90,Clothing,1,20.253785359470783
33,4.7,Fog,Jam ,scooter ,Metropolitian ,245,Apparel,0,16.600975700594585
23,,Sunny,Low ,motorcycle ,Metropolitian ,75,Snacks,1,4.540321372891478
27,4.6,Sunny,Low ,motorcycle ,Metropolitian ,105,Pet Supplies,1,12.421212735966003
34,4.7,Sunny,High ,scooter ,Metropolitian ,115,Toys,1,6.1187118466897275
26,5.0,Fog,Low ,scooter ,Urban ,55,Sports,1,1.520431947999248
31,4.6,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Snacks,0,9.087972744661085
32,4.9,Fog,Low ,motorcycle ,Metropolitian ,90,Books,1,3.0644871057616707
27,4.7,Cloudy,Low ,motorcycle ,Metropolitian ,70,Shoes,1,3.025144329113595
21,4.9,Windy,Medium ,motorcycle ,Metropolitian ,180,Pet Supplies,0,13.973206773137713
28,4.8,Fog,Low ,motorcycle ,Metropolitian ,90,Kitchen,1,7.763102784727143
24,4.9,Fog,Medium ,scooter ,Urban ,85,Toys,1,6.29013467763468
33,4.4,Sandstorms,Low ,motorcycle ,Metropolitian ,140,Electronics,0,1.5368503798521727
20,4.6,Fog,Jam ,motorcycle ,Metropolitian ,220,Home,0,13.97317756157655
31,4.3,Windy,Low ,motorcycle ,Metropolitian ,100,Toys,1,9.348403522662325
36,5.0,Fog,Jam ,motorcycle ,Metropolitian ,175,Shoes,0,10.602467987619507
31,4.2,Sandstorms,Jam ,motorcycle ,Metropolitian ,50,Grocery,1,17.076258901183188
39,4.1,Stormy,Jam ,scooter ,Metropolitian ,170,Electronics,0,9.22083460710881
29,4.6,Sunny,Jam ,van,Metropolitian ,85,Outdoors,1,12.161605446010208
29,4.6,Sandstorms,High ,scooter ,Urban ,115,Apparel,1,6.080882967594328
37,4.9,Fog,Medium ,motorcycle ,Metropolitian ,135,Books,0,4.67414369897644
33,4.7,Cloudy,High ,motorcycle ,Urban ,130,Skincare,0,6.29013467763468
31,3.9,Cloudy,Low ,scooter ,Metropolitian ,175,Pet Supplies,0,10.709003371535417
37,4.6,Windy,High ,motorcycle ,Urban ,205,Outdoors,0,6.29013467763468
26,4.4,Sandstorms,Low ,motorcycle ,Other,115,Toys,1,9.31488473286169
24,4.6,Stormy,Medium ,motorcycle ,Metropolitian ,150,Clothing,0,17.137482577838597
23,4.8,Windy,Low ,scooter ,Metropolitian ,95,Pet Supplies,1,3.145067434621583
36,4.9,Windy,Low ,scooter ,Metropolitian ,135,Electronics,0,1.572533729286321
39,4.8,Cloudy,High ,motorcycle ,Metropolitian ,140,Cosmetics,0,6.21800234869445
20,4.7,Sandstorms,Medium ,motorcycle ,Metropolitian ,120,Toys,1,12.463883024166657
20,5.0,Cloudy,Jam ,motorcycle ,Urban ,180,Sports,0,20.20658151050797
29,4.3,Sandstorms,Low ,motorcycle ,Metropolitian ,140,Cosmetics,0,9.081116432461174
36,4.8,Fog,Medium ,motorcycle ,Urban ,155,Snacks,0,17.138077427627866
36,4.0,Sunny,Jam ,motorcycle ,Metropolitian ,220,Skincare,0,13.631343698142908
22,4.8,Windy,Low ,scooter ,Metropolitian ,75,Cosmetics,1,12.074063090452917
38,4.4,Windy,Medium ,motorcycle ,Metropolitian ,165,Toys,0,10.723264172167632
39,4.9,Fog,Jam ,motorcycle ,Metropolitian ,150,Cosmetics,0,7.600994631258685
24,4.9,Stormy,Medium ,scooter ,Metropolitian ,110,Outdoors,1,7.562982485200135
30,4.1,Fog,Low ,motorcycle ,Metropolitian ,215,Sports,0,11.007734763744617
35,4.8,Fog,Medium ,motorcycle ,Metropolitian ,240,Jewelry,0,13.829314445199353
33,4.5,Stormy,Low ,van,Metropolitian ,95,Shoes,1,13.969116967730173
39,4.7,Windy,Medium ,motorcycle ,Urban ,105,Cosmetics,1,10.92326745824626
31,4.3,Windy,Jam ,motorcycle ,Metropolitian ,220,Outdoors,0,12.117036432265502
37,4.5,Windy,Low ,scooter ,Metropolitian ,130,Books,0,1.5525704156536744
37,4.7,Windy,Low ,scooter ,Metropolitian ,26,Grocery,1,4.663566689152146
33,5.0,Windy,High ,motorcycle ,Metropolitian ,155,Sports,0,1.5294972211332267
24,4.6,Stormy,Low ,scooter ,Urban ,19,Grocery,1,9.435201537430714
33,4.5,Sunny,Jam ,scooter ,Metropolitian ,90,Kitchen,1,11.916757259074618
39,4.7,Fog,Medium ,motorcycle ,Metropolitian ,190,Electronics,0,10.486117701549256
37,4.6,Cloudy,Medium ,motorcycle ,Metropolitian ,160,Outdoors,0,13.583078662317007
25,4.9,Sandstorms,Low ,scooter ,Metropolitian ,85,Jewelry,1,7.6831914051315
28,4.8,Fog,Medium ,scooter ,Urban ,55,Books,1,9.193093962702912
38,4.7,Windy,High ,motorcycle ,Metropolitian ,155,Cosmetics,0,6.2178836475581045
31,4.6,Windy,Medium ,motorcycle ,Metropolitian ,125,Skincare,0,9.326872529115304
25,4.8,Cloudy,Jam ,motorcycle ,Metropolitian ,110,Jewelry,1,9.179538450826048
35,4.9,Fog,Jam ,motorcycle ,Metropolitian ,215,Skincare,0,10.880651848535559
39,4.7,Fog,Jam ,motorcycle ,Metropolitian ,210,Home,0,10.565262855251525
38,3.9,Stormy,Jam ,motorcycle ,Metropolitian ,210,Kitchen,0,12.100062421152574
35,4.7,Fog,Jam ,motorcycle ,Metropolitian ,170,Snacks,0,4.657159718107683
29,4.7,Sandstorms,Low ,motorcycle ,Metropolitian ,85,Sports,1,2.9812178551917965
27,4.6,Stormy,Jam ,scooter ,Metropolitian ,125,Pet Supplies,0,4.56126563284071
38,4.3,Sandstorms,Jam ,motorcycle ,Semi-Urban ,270,Clothing,0,13.989916877275611
36,4.9,Windy,Low ,motorcycle ,Metropolitian ,105,Electronics,1,10.64228895373868
26,4.0,Cloudy,High ,motorcycle ,Metropolitian ,170,Snacks,0,6.147404652636645
26,4.1,Fog,Jam ,motorcycle ,Metropolitian ,180,Pet Supplies,0,13.428477357470895
36,4.9,Sunny,Medium ,motorcycle ,Metropolitian ,85,Cosmetics,1,9.32728515796102
21,4.7,Sunny,Low ,motorcycle ,Metropolitian ,80,Electronics,1,1.489792976782627
35,4.7,Sunny,Jam ,van,Metropolitian ,135,Apparel,0,12.418394742110447
20,4.5,Fog,High ,motorcycle ,Metropolitian ,130,Kitchen,0,6.217860689144307
23,4.6,Fog,Jam ,motorcycle ,Metropolitian ,230,Home,0,13.787803344501583
37,5.0,Sunny,Jam ,motorcycle ,Metropolitian ,145,Sports,0,9.080187058763224
26,4.8,Sandstorms,Jam ,motorcycle ,Metropolitian ,115,Shoes,1,9.31544163550089
29,5.0,Sandstorms,Low ,scooter ,Urban ,55,Sports,1,12.161417162421785
26,4.9,Stormy,Medium ,motorcycle ,Metropolitian ,140,Apparel,0,16.636875038860897
29,4.8,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Electronics,0,9.19295116708344
29,4.7,Sandstorms,Low ,motorcycle ,Metropolitian ,55,Snacks,1,3.0182264849996012
21,4.9,Windy,Medium ,scooter ,Metropolitian ,130,Electronics,0,4.395420246829376
22,4.3,Stormy,Low ,motorcycle ,Metropolitian ,115,Apparel,1,3.109059104393369
31,4.0,Fog,Medium ,motorcycle ,Metropolitian ,195,Kitchen,0,11.916582838288104
20,4.5,Fog,Low ,motorcycle ,Other,55,Apparel,1,3.116248509790061
30,3.9,Stormy,Jam ,van,Metropolitian ,160,Apparel,0,12.116950608888414
36,4.8,Fog,Medium ,motorcycle ,Metropolitian ,215,Shoes,0,10.868263117988388
24,4.7,Fog,Medium ,scooter ,Metropolitian ,65,Cosmetics,1,6.218153086065015
32,4.7,Windy,Low ,van,Metropolitian ,125,Jewelry,0,1.554424975889475
25,5.0,Windy,Medium ,motorcycle ,Metropolitian ,135,Clothing,0,9.313017158714828
27,4.5,Windy,Medium ,scooter ,Metropolitian ,145,Skincare,0,6.147106622705506
32,4.1,Sandstorms,Medium ,motorcycle ,Metropolitian ,165,Skincare,0,10.867300462045835
23,4.7,Fog,Medium ,motorcycle ,Urban ,19,Grocery,1,6.209259882041872
39,4.4,Sunny,Medium ,motorcycle ,Metropolitian ,165,Shoes,0,20.18085916835158
20,4.8,Fog,Jam ,motorcycle ,Metropolitian ,140,Apparel,0,9.435201537430714
20,4.8,Windy,Medium ,van,Other,75,Cosmetics,1,11.919755989352295
29,4.6,Stormy,Jam ,scooter ,Metropolitian ,145,Skincare,0,4.494291162003504
26,4.9,Stormy,Low ,scooter ,Metropolitian ,90,Snacks,1,20.85172635753384
25,5.0,Stormy,Low ,motorcycle ,Metropolitian ,70,Apparel,1,1.5605734793807475
34,4.7,Windy,Medium ,motorcycle ,Metropolitian ,150,Shoes,0,6.210589610314177
31,4.9,Sunny,High ,motorcycle ,Metropolitian ,140,Toys,0,6.17528357530834
24,4.7,Fog,Jam ,motorcycle ,Metropolitian ,195,Cosmetics,0,20.44292976252901
30,4.9,Cloudy,Medium ,motorcycle ,Metropolitian ,150,Skincare,0,13.830084721845328
36,4.8,Sandstorms,Medium ,motorcycle ,Metropolitian ,180,Apparel,0,19.37374583495492
36,4.4,Fog,Low ,motorcycle ,Metropolitian ,185,Home,0,20.857115324129595
26,4.7,Cloudy,Jam ,motorcycle ,Metropolitian ,215,Apparel,0,20.851557402660557
30,4.6,Sunny,Low ,scooter ,Other,145,Apparel,0,16.659963190057415
20,4.8,Stormy,Medium ,scooter ,Metropolitian ,125,Shoes,0,4.717601092054723
33,4.7,Fog,Medium ,van,Urban ,75,Books,1,7.76260023979039
34,4.0,Windy,Jam ,motorcycle ,Metropolitian ,195,Clothing,0,13.76685500858734
36,4.6,Windy,Low ,motorcycle ,Metropolitian ,100,Clothing,1,12.293677673573285
33,4.6,Fog,Low ,motorcycle ,Metropolitian ,75,Apparel,1,2.9846372692856606
22,4.8,Sandstorms,Low ,motorcycle ,Metropolitian ,80,Jewelry,1,16.78827586251448
38,4.7,Sunny,Low ,scooter ,Metropolitian ,95,Clothing,1,1.5320227740641719
27,4.9,Fog,Low ,scooter ,Metropolitian ,100,Kitchen,1,12.421407858787804
32,4.8,Sunny,Jam ,scooter ,Metropolitian ,125,Books,0,10.444776155165918
26,4.8,Cloudy,Jam ,motorcycle ,Metropolitian ,215,Home,0,12.42075005031367
29,4.5,Windy,Low ,motorcycle ,Urban ,75,Toys,1,19.659373527443684
31,4.5,Sunny,Jam ,motorcycle ,Urban ,145,Pet Supplies,0,12.46418980459368
28,4.6,Stormy,High ,motorcycle ,Metropolitian ,70,Outdoors,1,6.1462436583934315
21,4.8,Sunny,Medium ,motorcycle ,Metropolitian ,55,Toys,1,8.92908688893574
21,4.0,Sandstorms,Low ,motorcycle ,Metropolitian ,95,Clothing,1,7.79036212453358
30,4.9,Windy,Low ,motorcycle ,Metropolitian ,145,Skincare,0,12.580267822400963
29,4.7,Cloudy,Medium ,motorcycle ,Urban ,55,Shoes,1,5.992096714696517
20,4.8,Sunny,High ,motorcycle ,Metropolitian ,70,Sports,1,1.5297232853100244
28,5.0,Windy,Low ,motorcycle ,Urban ,75,Electronics,1,13.73594217639692
25,4.7,Sandstorms,Low ,motorcycle ,Metropolitian ,16,Grocery,1,10.705559922396555
38,4.8,Stormy,Low ,motorcycle ,Metropolitian ,100,Apparel,1,3.1048037532854496
39,4.9,Stormy,Low ,motorcycle ,Metropolitian ,130,Pet Supplies,0,4.610073053799191
26,4.9,Windy,Medium ,scooter ,Metropolitian ,130,Electronics,0,9.122100805601145
33,4.4,Windy,Jam ,motorcycle ,Urban ,215,Sports,0,10.906036622245484
24,4.6,Sandstorms,Medium ,motorcycle ,Urban ,125,Home,0,9.08801379933047
24,4.9,Fog,Medium ,motorcycle ,Metropolitian ,140,Sports,0,6.232303380306801
33,4.5,Stormy,Low ,scooter ,Metropolitian ,85,Snacks,1,13.611566722125085
35,4.2,Windy,Jam ,motorcycle ,Metropolitian ,220,Shoes,0,13.611428630407849
27,4.2,Stormy,Jam ,motorcycle ,Metropolitian ,165,Jewelry,0,13.763896210757977
29,4.5,Sunny,Medium ,motorcycle ,Metropolitian ,75,Electronics,1,4.657591594952301
34,4.7,Fog,Low ,scooter ,Metropolitian ,135,Skincare,0,19.34348721744278
20,4.7,Cloudy,High ,scooter ,Metropolitian ,25,Grocery,1,2.9845125598688362
29,4.8,Sunny,High ,motorcycle ,Metropolitian ,90,Shoes,1,6.058876303739157
22,4.9,Stormy,Medium ,scooter ,Metropolitian ,105,Kitchen,1,9.088084092164259
35,4.9,Cloudy,Jam ,motorcycle ,Metropolitian ,53,Grocery,1,10.41706579035871
32,4.4,Sandstorms,Jam ,motorcycle ,Metropolitian ,210,Kitchen,0,17.164833902684475
28,4.9,Sunny,Jam ,motorcycle ,Metropolitian ,100,Toys,1,16.11387241182587
30,4.7,Fog,Low ,scooter ,Metropolitian ,145,Home,0,20.253686339517458
22,4.7,Stormy,Jam ,scooter ,Urban ,75,Electronics,1,17.076258901183188
36,4.7,Fog,Medium ,motorcycle ,Metropolitian ,150,Home,0,7.79036212453358
23,4.8,Windy,Jam ,motorcycle ,Metropolitian ,28,Grocery,1,19.76218981785925
22,4.8,Stormy,Low ,motorcycle ,Other,19,Grocery,1,3.0250598092773755
29,4.5,Sandstorms,Low ,motorcycle ,Metropolitian ,75,Jewelry,1,19.8395614419349
34,4.9,Sandstorms,Jam ,motorcycle ,Urban ,250,Snacks,0,17.07559440107296
38,4.1,Stormy,High ,motorcycle ,Metropolitian ,205,Kitchen,0,1.5527001159059903
35,5.0,Fog,Medium ,motorcycle ,Metropolitian ,185,Pet Supplies,0,11.007734763744617
38,4.7,Cloudy,Jam ,scooter ,Metropolitian ,140,Home,0,9.435201537430714
32,4.3,Cloudy,Medium ,scooter ,Metropolitian ,175,Cosmetics,0,10.280572823486576
20,4.5,Windy,Jam ,motorcycle ,Metropolitian ,135,Home,0,10.867300462045835
25,4.9,Fog,Jam ,motorcycle ,Metropolitian ,215,Skincare,0,12.417687564200063
29,4.5,Fog,Low ,scooter ,Other,60,Books,1,8.93786088183146
32,4.7,Sandstorms,Jam ,scooter ,Metropolitian ,155,Clothing,0,6047.919477618646
39,4.1,Cloudy,Jam ,motorcycle ,Metropolitian ,195,Clothing,0,20.44292976252901
31,4.4,Stormy,Jam ,motorcycle ,Urban ,235,Books,0,16.660108123693192
37,4.5,Fog,Low ,motorcycle ,Urban ,130,Apparel,0,7.601385733164932
36,4.9,Cloudy,Medium ,van,Metropolitian ,155,Apparel,0,13.183763612802814
37,3.8,Sandstorms,Jam ,motorcycle ,Metropolitian ,210,Cosmetics,0,20.856833724898493
38,4.9,Cloudy,High ,scooter ,Metropolitian ,125,Toys,0,6.232373004507649
37,4.4,Sandstorms,Jam ,motorcycle ,Metropolitian ,195,Cosmetics,0,11.90486548713048
21,4.9,Fog,Low ,scooter ,Other,105,Snacks,1,13.682164847733755
35,4.9,Fog,Medium ,van,Metropolitian ,90,Toys,1,4.469362226704516
22,4.8,Sandstorms,Jam ,scooter ,Urban ,110,Electronics,1,13.40635545530559
28,4.8,Fog,Low ,motorcycle ,Metropolitian ,115,Home,1,3.073644027723396
39,4.0,Stormy,Medium ,motorcycle ,Metropolitian ,240,Jewelry,0,20.20658151050797
29,4.5,Windy,Low ,scooter ,Urban ,65,Home,1,12.419724873245404
39,4.6,Sandstorms,High ,motorcycle ,Metropolitian ,160,Pet Supplies,0,3.104803710518419
25,4.9,Sandstorms,Jam ,van,Urban ,80,Kitchen,1,20.20631641648197
34,5.0,Cloudy,Medium ,van,Urban ,95,Home,1,4.6741517745550425
22,4.8,Sunny,Low ,motorcycle ,Metropolitian ,90,Electronics,1,3.1053699758611546
27,5.0,Windy,Jam ,motorcycle ,Metropolitian ,135,Sports,0,10.444390862228435
28,4.5,Sunny,Medium ,motorcycle ,Urban ,125,Clothing,0,10.710903359654202
32,5.0,Stormy,Medium ,scooter ,Metropolitian ,155,Skincare,0,4.674393132741051
27,4.6,Sunny,Medium ,motorcycle ,Metropolitian ,100,Shoes,1,10.756697879102619
35,3.9,Windy,Jam ,motorcycle ,Metropolitian ,190,Toys,0,12.23656153955492
22,4.6,Windy,Low ,motorcycle ,Metropolitian ,95,Snacks,1,4.663658229921789
35,4.7,Sunny,Jam ,van,Metropolitian ,85,Sports,1,4.717601092054723
30,4.6,Cloudy,Low ,motorcycle ,Urban ,120,Cosmetics,1,1.5148048951935007
